id,age,edu,sex
1120001,73,22,Male
1120002,69,16,Female
1120003,69,16,Female
1120004,69,17,Male
1120005,66,14,Male
1120006,74,18,Male
1120008,81,12,Female
1120010,68,17,Female
1120011,68,16,Male
1120012,66,16,Female
1120013,70,17,Female
1120014,72,18,Female
1120015,81,22,Male
1120017,69,14,Female
1120018,71,16,Male
1120019,66,14,Female
1120020,71,17,Male
1120021,70,17,Female
1120023,80,16,Female
1120024,72,14,Male
1120025,71,13,Male
1120026,77,15,Female
1120027,69,23,Female
1120028,82,22,Female
1120029,70,19,Male
1120030,83,12,Male
1120031,70,17,Female
1120032,73,17,Male
1120033,72,16,Female
1120034,67,17,Male
1120035,67,13,Female
1120036,66,19,Male
1120037,82,14,Female
1120038,67,20,Female
1120039,68,16,Male
1120040,68,16,Male
1120041,79,18,Female
1120042,72,23,Male
1120043,75,21,Female
1120044,73,15,Female
1120045,76,18,Male
1120047,72,16,Male
1120049,67,16,Male
1120050,75,14,Female
1120052,71,16,Female
1120053,69,16,Male
1120054,71,19,Female
1120055,73,16,Male
1120056,69,18,Female
1120057,69,18,Female
1120058,69,18,Male
1120059,85,16,Male
1120060,75,18,Female
1120061,72,18,Male
1120062,68,16,Female
1120063,69,21,Male
1120065,67,18,Male
1120068,72,19,Male
1120069,71,22,Male
1120073,65,20,Female
1120075,76,13,Female
1120076,73,12,Male
1120077,68,17,Male
1120078,72,16,Female
1120079,73,18,Female
1120080,67,16,Female
1120081,66,18,Female
1120084,69,18,Female
1121001,82,18,Female
1121002,75,16,Female
1121003,70,17,Female
1121005,69,14,Female
1121007,66,12,Female
1121008,75,15,Male
1121009,67,18,Male
1121010,80,16,Male
1121011,68,22,Male
1121012,72,14,Female
1121014,69,16,Female
1121015,72,20,Male
1121016,67,20,Female
1121017,71,17,Male
1121018,70,16,Female
1121019,74,17,Male
1121020,73,14,Female
1121021,75,15,Female
1121022,70,16,Female
1121023,66,18,Male
1121024,68,16,Female
1121025,66,16,Male
1121026,74,12,Female
1121027,68,16,Male
1121029,73,16,Female
