sub,study,meta_entropy
1120001,BETTER,2.9551525076809333
1120002,BETTER,2.924345144948841
1120003,BETTER,2.8532314904483447
1120004,BETTER,2.8899902282837178
1120005,BETTER,2.888399168127304
1120006,BETTER,2.838854922358887
1120008,BETTER,2.9585322050311893
1120010,BETTER,2.8079615512979816
1120011,BETTER,2.8127222709810504
1120012,BETTER,2.90581795470833
1120013,BETTER,2.985111750002873
1120014,BETTER,2.781556541094816
1120015,BETTER,2.8364005084769266
1120017,BETTER,2.8739805372241194
1120018,BETTER,2.938770765225236
1120019,BETTER,2.9252325666843846
1120020,BETTER,2.808924343332588
1120021,BETTER,2.762810905744116
1120023,BETTER,2.843231211123204
1120024,BETTER,2.826861805830851
1120025,BETTER,2.9803994254961985
1120026,BETTER,2.7644749514286224
1120027,BETTER,2.813872414498757
1120028,BETTER,2.925066792167303
1120029,BETTER,2.957637036934332
1120030,BETTER,2.569880040283135
1120031,BETTER,2.86903402710893
1120032,BETTER,2.8596730505396764
1120033,BETTER,2.920689188029756
1120034,BETTER,2.955703971748495
1120035,BETTER,2.80520522498298
1120036,BETTER,2.8374004621267126
1120039,BETTER,2.929783602016616
1120040,BETTER,2.963662326828364
1120041,BETTER,2.8859050809695432
1120042,BETTER,2.652783344070877
1120043,BETTER,2.7730029777724794
1120044,BETTER,2.9723413167411694
1120045,BETTER,2.968929937814408
1120047,BETTER,2.849335800152692
1120050,BETTER,2.7501867512427154
1120052,BETTER,2.941830282713372
1120053,BETTER,2.9877625483652475
1120054,BETTER,2.959893293457841
1120055,BETTER,2.950741299942778
1120057,BETTER,2.5904947226962287
1120058,BETTER,2.8432882228875327
1120061,BETTER,2.850990701296749
1120062,BETTER,2.8851147111010427
1120063,BETTER,2.795848463608805
1120065,BETTER,2.9164141083475843
1120068,BETTER,2.9217150897274946
1120069,BETTER,2.645396567795634
1120070,BETTER,2.9116727560864546
1120073,BETTER,2.9426566872342947
1120075,BETTER,2.226107315900878
1120076,BETTER,2.947961751567768
1120077,BETTER,2.876841568376781
1120078,BETTER,2.984711213961025
1120079,BETTER,2.873028870201788
1120080,BETTER,2.8127330617717408
1120081,BETTER,2.871192650563544
1120082,BETTER,2.932979453484587
1120083,BETTER,2.7630943686774594
1120084,BETTER,2.8575695021712426
22002,EXTEND,2.908677752746182
22002,EXTEND,2.958024224505181
22002,EXTEND,2.91444860864342
22002,EXTEND,2.857164848921925
22002,EXTEND,2.7726631053753743
22002,EXTEND,2.886584686258232
22002,EXTEND,2.81404810558608
22002,EXTEND,2.9318655782299614
22002,EXTEND,3.15055709808348
22009,EXTEND,2.787602971662956
22020,EXTEND,2.947534398753615
22020,EXTEND,2.962992927458381
22020,EXTEND,2.8976240234884725
22020,EXTEND,2.937012268092357
22020,EXTEND,2.825809781367282
22020,EXTEND,2.935879212281225
22020,EXTEND,2.7587456904210685
22020,EXTEND,2.9336409378379367
22020,EXTEND,2.872137041848369
22041,EXTEND,2.941215289553796
22041,EXTEND,2.8517300681145747
22041,EXTEND,2.9336672258522776
22041,EXTEND,2.784725367686691
22041,EXTEND,2.9385512808219847
22041,EXTEND,2.986636371772218
22041,EXTEND,2.986401367687748
22041,EXTEND,2.912496788320647
22042,EXTEND,2.8103443663112544
22042,EXTEND,2.9224988794650115
22042,EXTEND,2.8969887998078088
22042,EXTEND,2.945998804731658
22042,EXTEND,2.9520887339398088
22042,EXTEND,2.833097838239846
22042,EXTEND,2.9621476396901456
22042,EXTEND,2.8508306514561217
22053,EXTEND,2.8253005459226226
22053,EXTEND,2.950629482433154
22053,EXTEND,2.9746577645754018
22053,EXTEND,2.871518903776157
22053,EXTEND,2.839183927125538
22053,EXTEND,2.8302074903576155
22053,EXTEND,2.8789536721786466
22053,EXTEND,2.92939337778792
22053,EXTEND,3.117668506136417
22056,EXTEND,2.847496371280389
22056,EXTEND,2.652211890465156
22056,EXTEND,2.9564535375487977
22056,EXTEND,2.704001201724356
22056,EXTEND,2.621127768108157
22056,EXTEND,2.7178258031064413
22056,EXTEND,2.5357685466960715
22056,EXTEND,2.618402923448968
22056,EXTEND,2.3761654997293182
22057,EXTEND,2.9135703630267566
22057,EXTEND,2.8453377388385936
22057,EXTEND,2.8799577277028785
22057,EXTEND,2.822851619964222
22057,EXTEND,2.703000426446512
22057,EXTEND,2.661923748396236
22057,EXTEND,2.955216788453265
22057,EXTEND,2.956488830599984
22057,EXTEND,3.065002361101482
22064,EXTEND,2.934065856994562
22064,EXTEND,2.8083434489253607
22064,EXTEND,2.762229441595612
22064,EXTEND,2.684385478559681
22064,EXTEND,2.911535519520671
22064,EXTEND,2.7766486448179912
22064,EXTEND,2.794440245161613
22064,EXTEND,2.8808182186933253
22065,EXTEND,2.397563051523969
22065,EXTEND,2.923715276063634
22065,EXTEND,2.7622196545028577
22065,EXTEND,2.8814464612325827
22065,EXTEND,2.8783118128719543
22065,EXTEND,2.801996924720749
22065,EXTEND,2.8574926605480484
22065,EXTEND,2.891140178935106
22085,EXTEND,2.831691884168129
22085,EXTEND,2.9052259415709707
22095,EXTEND,2.9597215370663643
22100,EXTEND,2.956048938717159
22100,EXTEND,2.961940029803308
22100,EXTEND,2.918749476703075
22100,EXTEND,2.782888669089023
22100,EXTEND,2.594487515131793
22100,EXTEND,2.816060863659412
22100,EXTEND,2.94091582023073
22100,EXTEND,2.919040097123664
22100,EXTEND,3.047541101908759
22102,EXTEND,2.7767324144668604
22103,EXTEND,2.9900387894784064
22103,EXTEND,2.9871088230567047
22103,EXTEND,2.969090361320569
22103,EXTEND,2.962998436694785
22103,EXTEND,2.946296775954129
22103,EXTEND,2.8828914530313754
22103,EXTEND,2.975985110819777
22103,EXTEND,2.9365018367587905
22105,EXTEND,2.8719639865146966
22106,EXTEND,2.9734479816560047
22106,EXTEND,2.972854025942835
22112,EXTEND,2.851743955208753
22112,EXTEND,2.7548200603700432
22112,EXTEND,2.917241924268821
22112,EXTEND,2.9072507737218447
22112,EXTEND,2.752698882672337
22112,EXTEND,2.659302838367553
22112,EXTEND,2.922637654327272
